genre,movie_count,avg_rating,total_votes,avg_runtime
Drama,513,6.953801169590643,74784098,116.63547758284601
Action,303,6.6145214521452145,71435768,116.73927392739274
Comedy,279,6.6476702508960575,39524025,105.89964157706093
Adventure,259,6.772200772200772,66819104,117.6988416988417
Thriller,195,6.593333333333334,31142039,111.76923076923077
Crime,150,6.786666666666667,26340107,115.41333333333333
Romance,141,6.68581560283688,17571068,113.00709219858156
Sci-Fi,120,6.716666666666667,35344598,116.39166666666667
Horror,119,6.089915966386555,10466804,101.56302521008404
Mystery,106,6.886792452830188,19147305,115.0
Fantasy,101,6.548514851485148,21696703,117.5049504950495
Biography,81,7.290123456790123,12308853,122.58024691358025
Family,51,6.684313725490195,7495269,110.98039215686275
Animation,49,7.324489795918367,10199812,98.14285714285714
History,29,7.127586206896551,4189695,130.68965517241378
Sport,18,7.011111111111111,2059836,118.33333333333333
Music,16,7.075,1878969,112.1875
War,13,7.3538461538461535,2987189,114.84615384615384
Western,7,6.771428571428571,1796659,134.28571428571428
Musical,5,6.94,866881,127.6
